Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Cuts-men,fall-capsule,Fall Capsule (3-Pack),"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our newest styles inspired by deep, rich Fall colors that will keep you looking your best for the holidays. Capsule features (1) Mountain Mist Crew Split-Hem, (1) Saddle L/S Henley Split-Hem, and (1) Slate Crew Elongated.Free Capsule Exchanges + Returns - Exchanges/returns apply to entire capsule only - No single shirt returns or substitutions - Exchanges only permitted for a different sizeGift box included with all Cuts Capsules Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/fall-capsule,,,,1,,deny,manual,152,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/Cuts-Capsules-Fall.jpg?v=1573844922,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,fall-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/Box-Photo_7c7126d3-b06d-43e4-b14c-ac9164f4e371.jpg?v=1573844922,2,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,fall-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/Mountain-Mist-Crew-Split-Hem_1180x_2x_86c38a38-82a2-4e9f-aab5-ea0cba53e546.jpg?v=1573844922,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,fall-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/saddle-ls-henley-split_762738ff-876b-4e07-83ff-1dbcbf860c25.jpg?v=1573844922,4,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,fall-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/Slate-Crew-Elongated_1180x_2x_87fd321f-ecb3-4669-a1ee-6e4f167d2d03.jpg?v=1573844922,5,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,upgrade-capsule,Neo Capsule,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>A premium selection of Cuts with styles designed to boost up your closet level. Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/upgrade-capsule,,,,1,,deny,manual,174,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/Upgrade-Capsule.jpg?v=1571771957,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,upgrade-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/Box-Photo_526c40d4-99f4-4d1b-b33f-220df046f070.jpg?v=1571771962,2,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,upgrade-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/LS-HENLEY-SPLIT-HEM-BLACK_1180x_2x_24210088-2272-422c-8e97-1d1fb344f8c2.jpg?v=1571771962,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,upgrade-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CORAL-SS-CREW-ELONGATED_1180x_2x_b85e276b-f2dc-4450-8e53-86e8cea3f5d1.png?v=1571771962,4,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,upgrade-capsule,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/STONE-LS-HENLEY-ELONGATED_1180x_2x_95b9e0c8-7bf1-4581-a079-46e6026fa991.png?v=1571771962,5,,,,,,,,,,,,,,,,,,,,,,
