Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Duvin-men,flamingo-hat-1,Flamingo Hat,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Super comfortable unstructured snapback\n	•	Snapback</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping. Return for items purchased in the last 60 days.</sectionBody></section></sections>",Duvin-men,ACCESSORIES,"duvin, hats",,Title, Default Title,Link,https://duvindesign.com/products/flamingo-hat-1,,,,1,,deny,manual,26.5,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/flamingo-hat.jpg?v=1572373567,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Duvin-men,mini-palm-tee,Mini Palm Tee,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Mini Palm Tee\n	•	100% Vintage Washed Cotton (+ Top Secret Duvin Formula To Make Super Soft)\n	•	Fits True To Size\n	•	Custom Dyed In Downtown LA\n	•	Wash Cold / Dry Low - 100% cotton will shrink if dried on high heat.\n	•	FREE SHIPPING / FREE RETURNS\nModel is 5'6'' 140 lbs and wearing size Medium</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping. Return for items purchased in the last 60 days.</sectionBody></section></sections>",Duvin-men,T-Shirt,"duvin, tees",,Title, Default Title,Link,https://duvindesign.com/products/mini-palm-tee,,,,1,,deny,manual,26.5,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/mini-palm-tee-model.jpg?v=1571852225,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Duvin-men,mini-palm-tee,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/mini-palm-tee.jpg?v=1571852228,2,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,mini-smiley-tee,Mini Smiley Tee,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Mini Smiley Tee\n	•	100% Vintage Washed Cotton (+ Top Secret Duvin Formula To Make Super Soft)\n	•	Fits True To Size\n	•	Custom Dyed In Downtown LA\n	•	Wash Cold / Dry Low - 100% cotton will shrink if dried on high heat.\n	•	FREE SHIPPING / FREE RETURNS\nModel is 5'6'' 140 lbs and wearing size Medium</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping. Return for items purchased in the last 60 days.</sectionBody></section></sections>",Duvin-men,T-Shirt,"duvin, tees",,Title, Default Title,Link,https://duvindesign.com/products/mini-smiley-tee,,,,1,,deny,manual,26.5,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/mini-smiley-tee-model.jpg?v=1571852262,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Duvin-men,mini-smiley-tee,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/mini-smiley-tee.jpg?v=1571852262,2,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-pepper,Skullmingo Tee Pepper,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Join the Filthy Skullmingos\n	•	100% Vintage Washed Cotton (+ Top Secret Duvin Formula To Make Super Soft)\n	•	Fits True To Size\n	•	Custom Dyed In Downtown LA\n	•	Wash Cold / Dry Low - 100% cotton will shrink if dried on high heat.\n	•	FREE SHIPPING / FREE RETURNS\nModel is 5'6'' 140 lbs and wearing size Medium</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping. Return for items purchased in the last 60 days.</sectionBody></section></sections>",Duvin-men,T-Shirt,"duvin, tees",,Title, Default Title,Link,https://duvindesign.com/products/skullmingo-tee-pepper,,,,1,,deny,manual,28.5,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/skullmingo-pepper-model-back.jpg?v=1571852437,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-pepper,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/skullmingo-pepper-front-model.jpg?v=1571980710,2,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-pepper,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/skullmingo-pepper-front.jpg?v=1571980710,3,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-pepper,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/skullmingo-pepper-back.jpg?v=1571980710,4,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-antique,Skullmingo Tee Antique,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Join the Filthy Skullmingos\n	•	100% Vintage Washed Cotton (+ Top Secret Duvin Formula To Make Super Soft)\n	•	Fits True To Size\n	•	Custom Dyed In Downtown LA\n	•	Wash Cold / Dry Low - 100% cotton will shrink if dried on high heat.\n	•	FREE SHIPPING / FREE RETURNS\nModel is 5'6'' 140 lbs and wearing size Medium</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping. Return for items purchased in the last 60 days.</sectionBody></section></sections>",Duvin-men,T-Shirt,"duvin, tees",,Title, Default Title,Link,https://duvindesign.com/products/skullmingo-tee-antique,,,,1,,deny,manual,28.5,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/skullmingo-antique-model-back.jpg?v=1571852176,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-antique,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/Skullmingo-antique-model-front.jpg?v=1571980707,2,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-antique,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/skullmingo-antique-front.jpg?v=1571980707,3,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,skullmingo-tee-antique,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/skullmingo-antique-back.jpg?v=1571980707,4,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,smiles-tee-pink,Smiles Tee Pink,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Smile because you're wearing Duvin\n	•	100% Vintage Washed Cotton (+ Top Secret Duvin Formula To Make Super Soft)\n	•	Fits True To Size\n	•	Custom Dyed In Downtown LA\n	•	Wash Cold / Dry Low - 100% cotton will shrink if dried on high heat.\n	•	FREE SHIPPING / FREE RETURNS\nModel is 5'6'' 140 lbs and wearing size Medium</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping. Return for items purchased in the last 60 days.</sectionBody></section></sections>",Duvin-men,T-Shirt,"duvin, tees",,Title, Default Title,Link,https://duvindesign.com/products/smiles-tee-pink,,,,1,,deny,manual,28.5,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/smile-pink-model-back.jpg?v=1571978877,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Duvin-men,smiles-tee-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/smile-pink-tee-front-model.jpg?v=1571978877,2,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,smiles-tee-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/smile-pink-back.jpg?v=1571978877,3,,,,,,,,,,,,,,,,,,,,,,
Duvin-men,smiles-tee-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/smile-pink-tee-front.jpg?v=1571978877,4,,,,,,,,,,,,,,,,,,,,,,
