Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Johnnie-O-men,dale-t-shirt-avocado,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289133207621,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_AVACADO_Front_flt_SM_Grey.jpg?v=1573836159,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-avocado,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_AVACADO_Front_SM_Grey.jpg?v=1573836159,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-avocado,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_AVACADO_Detail_SM_Grey.jpg?v=1573836159,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-lagoon,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289133371461,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_LAGOON_Front_SM_Grey.jpg?v=1573836159,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-lagoon,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_LAGON_Detail_SM_Grey.jpg?v=1573836159,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-lagoon,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_LAGON_Front_flt_SM_Grey.jpg?v=1573836159,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-maliblu,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289133535301,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_Maliblu_Front_SM_Grey.jpg?v=1573836159,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-maliblu,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_Maliblu_Detail_SM_Grey.jpg?v=1573836159,2,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-maliblu,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_Maliblu_Front_flt_SM_Grey.jpg?v=1573836159,3,,,,,,,,,,,,,,,,,,,,,,
Johnnie-O-men,dale-t-shirt-malibured,Dale T-Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We went the distance to bring you a new and improved classic tee. The Dale is available in nine new colors and you'll want to stock up now. We've already done the heavy lifting on this one so sit back, relax, and enjoy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6' 1"" 185 pounds and is wearing a size MR.\nClick buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Johnnie-O will gladly accept returns of any full price, unworn, unwashed merchandise for a full refund, or exchange within 30 days of purchase. Please note that any original shipping charges are not eligible for refund.</sectionBody></section></sections>",Johnnie-O-men,MST,"johnnie-o, tees",,Title, Default Title,Link,https://www.johnnie-o.com/products/dale-t-shirt?variant=30289133699141,,,,1,,deny,manual,39,,,,,https://cdn.shopify.com/s/files/1/2275/0137/products/JMST2190_DALE_Mens_TEE_MALIBU_RED_Front_SM_Grey.jpg?v=1573836159,1,,FALSE,,,,,,,,,,,,,,,,,,,,
