Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Marine Layer-men,ls-holiday-plaid-shirt-multi-plaid,Belrose Button Down,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody></sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping and free returns.</sectionBody></section></sections>",Marine Layer-men,Mens - Wovens - All,"marine layer, new, buttondowns",,Title, Default Title,Link,https://www.marinelayer.com/collections/mens/products/ls-holiday-plaid-shirt-multi-plaid,,,,1,,deny,manual,125,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/mens-belrose-button-down-FINAL.jpg?v=1572026907,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-holiday-plaid-shirt-multi-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN1_c672b375-0c8e-46da-9231-5abcbc937e01.jpg?v=1572026907,2,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-holiday-plaid-shirt-multi-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN4_9667c299-b69d-42fb-9246-baafcef69747.jpg?v=1572026907,3,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-holiday-plaid-shirt-multi-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN2_2aab7914-fe2b-486f-aa51-035e402e97ec.jpg?v=1572026907,4,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-holiday-plaid-shirt-multi-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN3_d8ef0323-9a18-4d92-bd9c-df770f5ab6df.jpg?v=1572026907,5,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-carrie-plaid-camping-shirt-navy-red-plaid,Twain Camping Shirt,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody></sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping and free returns.</sectionBody></section></sections>",Marine Layer-men,Mens - Wovens - All,"marine layer, new, buttondowns",,Title, Default Title,Link,https://www.marinelayer.com/collections/mens/products/ls-carrie-plaid-camping-shirt-navy-red-plaid,,,,1,,deny,manual,165,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/mens-camp-overshirt-FINAL.jpg?v=1571095830,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-carrie-plaid-camping-shirt-navy-red-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN2_11d28966-2949-49ff-986d-c35f13119b57.jpg?v=1572527639,2,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-carrie-plaid-camping-shirt-navy-red-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN_f91e8c06-e976-4d85-95c4-f6aac365fa2d.jpg?v=1572527639,3,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-carrie-plaid-camping-shirt-navy-red-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN3_905ca35d-8025-400a-8221-f860e7227af8.jpg?v=1572527634,4,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-gingham-plaid-shirt-navy-port-gingham,Seawall Button Down,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody></sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping and free returns.</sectionBody></section></sections>",Marine Layer-men,Mens - Wovens - All,"marine layer, new, buttondowns, best",,Title, Default Title,Link,https://www.marinelayer.com/collections/mens/products/ls-gingham-plaid-shirt-navy-port-gingham,,,,1,,deny,manual,98,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/mens-seawall-button-down-Proof.jpg?v=1572042800,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-gingham-plaid-shirt-navy-port-gingham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN1_fc1a0349-7a60-4a37-a2e7-fa150d3962bd.jpg?v=1572527382,2,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-gingham-plaid-shirt-navy-port-gingham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN3_fcf462d5-24ed-46ab-bd45-e3b4eb172056.jpg?v=1572527382,3,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-gingham-plaid-shirt-navy-port-gingham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/Untitled-3_131629c0-773b-4b16-b62f-2fb6d5912bf8.jpg?v=1572527382,4,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-multi-plaid-shirt-green-blue-plaid,Deakin Button Down,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody></sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping and free returns.</sectionBody></section></sections>",Marine Layer-men,Mens - Wovens - All,"marine layer, new, buttondowns",,Title, Default Title,Link,https://www.marinelayer.com/collections/mens/products/ls-multi-plaid-shirt-green-blue-plaid,,,,1,,deny,manual,125,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/mens-deakin-buttondown-FINAL.jpg?v=1572027168,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-multi-plaid-shirt-green-blue-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN2_96679f50-669b-4a89-a17b-bde9b611e7b8.jpg?v=1572526736,2,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-multi-plaid-shirt-green-blue-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN_0b7ee7c7-bb2d-4b84-8fc0-e3046cebba18.jpg?v=1572526736,3,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-multi-plaid-shirt-green-blue-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/TN3_2d9bf2d6-0020-4e24-8908-c230ce3f3af7.jpg?v=1572526712,4,,,,,,,,,,,,,,,,,,,,,,
Marine Layer-men,ls-striped-double-cloth-heather-grey,Ritter Button Down,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	100% Cotton\n	•	Subtle lumberjack look\n	•	Absurdly soft</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free US shipping and free returns.</sectionBody></section></sections>",Marine Layer-men,Mens - Wovens - All,"marine layer, new, buttondowns",,Title, Default Title,Link,https://www.marinelayer.com/collections/mens/products/ls-striped-double-cloth-heather-grey,,,,1,,deny,manual,125,,,,,https://cdn.shopify.com/s/files/1/0831/9103/products/ritter-button-down-thumb.jpg?v=1571788031,1,,FALSE,,,,,,,,,,,,,,,,,,,,
