Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
The Normal Brand-men,puremeso-hoodie-charcoal-Charcoal,Puremeso Hoodie - Charcoal,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This fall favorite is back and better than ever. Extremely soft, insanely comfortable.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Hoodie,"normal, puremeso, outerwear",,Title, Default Title,Link,https://thenormalbrand.com/products/puremeso-hoodie-charcoal?variant=31143349387329,,,,1,,deny,manual,46,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/2_60b1423a-ef6f-4df5-a2b3-cf352effc358.jpg?v=1573660678,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,cole-terry-quarter-zip-Grey,Cole Terry Quarter Zip Pullover,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>You will absolutely love this soft, mid-weight fabric. This quarter zip is the ideal layering piece to throw on top of a t-shirt if there's a slight chill, or under a vest for colder temps. Stylish, easy, comfortable.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Quarter Zip,"normal, outerwear",,Title, Default Title,Link,https://thenormalbrand.com/products/cole-terry-quarter-zip?variant=29049369362497,,,,1,,deny,manual,57,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19-1907_04d32f1e-cfc3-410b-b6ca-83a20b5b6cd6.jpg?v=1570206001,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,cole-terry-quarter-zip-Navy,Cole Terry Quarter Zip Pullover,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>You will absolutely love this soft, mid-weight fabric. This quarter zip is the ideal layering piece to throw on top of a t-shirt if there's a slight chill, or under a vest for colder temps. Stylish, easy, comfortable.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Quarter Zip,"normal, outerwear",,Title, Default Title,Link,https://thenormalbrand.com/products/cole-terry-quarter-zip?variant=29049367625793,,,,1,,deny,manual,57,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/new-navy.jpg?v=1570205966,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,cole-terry-quarter-zip-Stone,Cole Terry Quarter Zip Pullover,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>You will absolutely love this soft, mid-weight fabric. This quarter zip is the ideal layering piece to throw on top of a t-shirt if there's a slight chill, or under a vest for colder temps. Stylish, easy, comfortable.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Quarter Zip,"normal, outerwear",,Title, Default Title,Link,https://thenormalbrand.com/products/cole-terry-quarter-zip?variant=29049367789633,,,,1,,deny,manual,57,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19-1944.jpg?v=1570205966,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,puremeso-snap-henley-Stone,Puremeso Snap Henley,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We brought extreme comfort to a bomber silhouette, all thanks to puremeso. This super soft hybrid bomber style is the lightweight jacket your closet was missing. Jacket features snap front closure, contrast navy rib at collar & bottom band as well as touches of chambray details at placket and tonal embroidery stitched on the left sleeve.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Henley,"normal, shirt, puremeso",,Title, Default Title,Link,https://thenormalbrand.com/products/puremeso-snap-henley?variant=30322221744193,,,,1,,deny,manual,74,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-564.png?v=1573769650,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,puremeso-snap-henley-Mineral Blue,Puremeso Snap Henley,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We brought extreme comfort to a bomber silhouette, all thanks to puremeso. This super soft hybrid bomber style is the lightweight jacket your closet was missing. Jacket features snap front closure, contrast navy rib at collar & bottom band as well as touches of chambray details at placket and tonal embroidery stitched on the left sleeve.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Henley,"normal, shirt, puremeso",,Title, Default Title,Link,https://thenormalbrand.com/products/puremeso-snap-henley?variant=30322222071873,,,,1,,deny,manual,74,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-584.png?v=1570653665,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,puremeso-multi-way-scarf-Charcoal,Puremeso Multi-Way Scarf,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Instead of making a single purpose scarf, we thought the normal thing to do would be to make it a little more useful than a simple accessory. Our multi-way scarf is made from our heavyweight Puremeso with matte snap trims to enable its functionality. This scarf can be worn multiple ways depending on how you snap it; anywhere from classic circle scarf to shawl or wrap, all sure to be ultra cozy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Accessories,"normal, puremeso, accessories",,Title, Default Title,Link,https://thenormalbrand.com/products/puremeso-multi-way-scarf?variant=30322254053441,,,,1,,deny,manual,53,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-483.png?v=1573228705,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,puremeso-multi-way-scarf-Stone,Puremeso Multi-Way Scarf,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Instead of making a single purpose scarf, we thought the normal thing to do would be to make it a little more useful than a simple accessory. Our multi-way scarf is made from our heavyweight Puremeso with matte snap trims to enable its functionality. This scarf can be worn multiple ways depending on how you snap it; anywhere from classic circle scarf to shawl or wrap, all sure to be ultra cozy.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Accessories,"normal, puremeso, accessories",,Title, Default Title,Link,https://thenormalbrand.com/products/puremeso-multi-way-scarf?variant=30322258149441,,,,1,,deny,manual,53,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall_Holiday20_Stlouis_Web-779.png?v=1570655261,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red-plaid,Mountain Overshirt - Red Plaid,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This incredibly soft heavyweight twill feels like a knit, and layers like a jacket. Thick yarns make it perfect for the outdoors. The Mountain Shirt was intended to be taken anywhere. It's finished off with an acid wash for a perfectly imperfect vintage look.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>See brand's website for detailed sizing info.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on US orders over $99. Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase. Refunds are credited back to you via your original payment method once your return has been received and processed. All clearance, mystery box, gift cards, or final sale items are not eligible for returns or exchanges.</sectionBody></section></sections>",The Normal Brand-men,Woven,"normal, shirt",,Title, Default Title,Link,https://thenormalbrand.com/products/mountain-overshirt-red-plaid,,,,1,,deny,manual,82,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-90.png?v=1573228184,1,,FALSE,,,,,,,,,,,,,,,,,,,,
The Normal Brand-men,mountain-overshirt-red-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-88.png?v=1573228184,2,,,,,,,,,,,,,,,,,,,,,,
