Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Outerknown-men,essential-s-s-shirt-bright-black-wiki-stripe,Essential S/S Shirt - FINAL SALE,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Ready for summer, Wiki Stripes give these classic-fit Essentials a breezy texture just right for the season.\n	•	Linen blend looks even better with a little wrinkle, perfect for travel.\n	•	Features mother of pearl buttons, signature O< embroidery.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>For all U.S. orders, we offer free standard shipping on orders over $100. Orders placed with standard shipping will arrive in 3-7 business days.\nWe gladly accept returns or exchanges within 30 days of purchase as long as they are in original condition (unworn, unwashed and with tags).</sectionBody></section></sections>",Outerknown-men,Shirts,"outerknown",,Title, Default Title,Link,https://www.outerknown.com/products/essential-s-s-shirt-bright-black-wiki-stripe,,,,1,,deny,manual,31,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1310091_outerknown_essentialssshirt_wib_f.jpg?v=1573020681,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Outerknown-men,essential-s-s-shirt-bright-black-wiki-stripe,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1310091_outerknown_essentialssshirt_wib_m1.jpg?v=1573020681,2,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,essential-s-s-shirt-bright-black-wiki-stripe,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1310091_outerknown_essentialssshirt_wib_m2.jpg?v=1573020681,3,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,essential-s-s-shirt-bright-black-wiki-stripe,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1310091_outerknown_essentialssshirt_wib_d1.jpg?v=1573020681,4,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,essential-s-s-shirt-bright-black-wiki-stripe,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1310091_outerknown_essentialssshirt_wib_d2.jpg?v=1573020681,5,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,essential-s-s-shirt-bright-black-wiki-stripe,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1310091_outerknown_essentialssshirt_wib_d3.jpg?v=1573020681,6,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,essential-s-s-shirt-bright-black-wiki-stripe,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1310091_outerknown_essentialssshirt_wib_swt.png?v=1521064315,7,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,evolution-shirt-jacket-bright-black,Evolution Shirt Jacket - Final Sale,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Smooth. Versatile. Ultra-lightweight. Activated for Travel.\n	•	Built with Fluorocarbon Free DWR (Durable Water Repellant) technology with no harmful impact to the environment.\n	•	Spill-resistant - Just wipe off and journey on.\n	•	Recycled Polyester insulation is the perfect layer for chilly endeavors.\n	•	Fully Reversible; quilted lining can be worn on the outside.\n	•	Details include: chest pocket, side seam pockets, and stylish snap closure.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>For all U.S. orders, we offer free standard shipping on orders over $100. Orders placed with standard shipping will arrive in 3-7 business days.\nWe gladly accept returns or exchanges within 30 days of purchase as long as they are in original condition (unworn, unwashed and with tags).</sectionBody></section></sections>",Outerknown-men,Outerwear,"outerknown",,Title, Default Title,Link,https://www.outerknown.com/products/evolution-shirt-jacket-bright-black,,,,1,,deny,manual,73,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/5da0bb047137bd51bdaf1cde7bd618c0.jpg?v=1573020600,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Outerknown-men,evolution-shirt-jacket-bright-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/38d71fd80d74d428e4f6b2522af5b514.jpg?v=1573020600,2,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,evolution-shirt-jacket-bright-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/4d095602579d463215fce07759652eda.jpg?v=1573020600,3,,,,,,,,,,,,,,,,,,,,,,
