Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Public Rec-men,workday-pant-straight-inseam-36-black,Workday Pant - Straight,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Styled after the classic 5-pocket pant, the Workday was designed to be more comfortable than chinos and more formal than jeans. For the plane, the office, the bar and anywhere else the day may take you.\nThe straight fit is a more traditional style with more room from the knee down.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy to view more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>We allow free shipping, free returns and free exchanges. Please email support@publicrec.com to initiate a return.</sectionBody></section></sections>",Public Rec-men,Pants,"publicrec, pants",,Title, Default Title,Link,https://publicrec.com/products/workday-pant-straight-inseam-36?variant=30742460366882,,,,1,,deny,manual,108,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot3_053_ad28126e-0c26-4df3-b68e-88a7baa1c065.jpg?v=1571429465,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot3_017_6bedbdd5-b108-4a2b-bdd6-e0bff67e5766.jpg?v=1571429465,2,,,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot3_041_a535f974-2e7f-4577-a2c4-027187bd5cda.jpg?v=1571429465,3,,,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot3_068_d46a3734-ab2c-4b3a-8bd3-23f73c79c83b.jpg?v=1571429465,4,,,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot3_084_563d2254-cfd1-4f9b-9283-271414ca9cd3.jpg?v=1571429465,5,,,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot3_103_31e34cea-7033-493f-8a1d-5c833758ad0c.jpg?v=1571429465,6,,,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot3_091_e6df298e-ef3e-40a0-a6e4-f4200db7c968.jpg?v=1571429465,7,,,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-navy,Workday Pant - Straight,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Styled after the classic 5-pocket pant, the Workday was designed to be more comfortable than chinos and more formal than jeans. For the plane, the office, the bar and anywhere else the day may take you.\nThe straight fit is a more traditional style with more room from the knee down.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy to view more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>We allow free shipping, free returns and free exchanges. Please email support@publicrec.com to initiate a return.</sectionBody></section></sections>",Public Rec-men,Pants,"publicrec, pants",,Title, Default Title,Link,https://publicrec.com/products/workday-pant-straight-inseam-36?variant=30742460170274,,,,1,,deny,manual,108,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot6_063_df90466f-7b40-44cb-a9b3-aca78b3a6005.jpg?v=1571416070,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-navy,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot6_034_426310e0-c9df-4c5d-9d87-d6e196abfcc5.jpg?v=1571416084,2,,,,,,,,,,,,,,,,,,,,,,
Public Rec-men,workday-pant-straight-inseam-36-navy,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0925/0118/products/20191012_PublicRec_Shot6_058_89237800-b0e8-4214-b9e7-874d833ff976.jpg?v=1571417381,3,,,,,,,,,,,,,,,,,,,,,,
