Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Taylrd-men,hoodie-grey-heather,Grey Heather | French Terry Hoodie,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Click the buy button for more info. Made from the highest quality fabric. Features: Knitted Terry Cloth Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6'1"" and wears a medium slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on order over $75 and free 30-day returns on purchase.</sectionBody></section></sections>",Taylrd-men,Hoodie,"taylrd",,Title, Default Title,Link,https://www.taylrdclothing.com/products/hoodie-grey-heather,,,,1,,deny,manual,59,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1413-min.jpg?v=1571263633,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-grey-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1414-min.jpg?v=1571263633,2,,,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-grey-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1421-min.jpg?v=1571263633,3,,,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-grey-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1428-min.jpg?v=1571263633,4,,,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-grey-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1432-min.jpg?v=1571263633,5,,,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-grey-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1428-min_7a85ac43-5276-4d9c-aa58-58be160fa34c.jpg?v=1571938236,6,,,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-olive-heather,Olive Heather | French Terry Hoodie,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Click the buy button for more info. Made from the highest quality fabric. Features: Knitted Terry Cloth Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Model is 6'1"" and wears a medium slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping on order over $75 and free 30-day returns on purchase.</sectionBody></section></sections>",Taylrd-men,Hoodie,"taylrd",,Title, Default Title,Link,https://www.taylrdclothing.com/products/hoodie-olive-heather,,,,1,,deny,manual,59,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1632-min.jpg?v=1571263632,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-olive-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1650-min.jpg?v=1571263632,2,,,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-olive-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1637-min.jpg?v=1571263632,3,,,,,,,,,,,,,,,,,,,,,,
Taylrd-men,hoodie-olive-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1632/0523/products/Taylrd-Clothing-FAll-2019-1637-min_499b4381-1cb2-4536-951c-67a996f81102.jpg?v=1571938262,4,,,,,,,,,,,,,,,,,,,,,,
