Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,Navy Tailored Fit // 5 Pocket Performance Pants,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Non-Iron\n	•	Dynamic 4-way Stretch\n	•	Shirt-Gripping Waistband\n	•	Sweat-wicking\n	•	Hyper-breathable\n	•	Media & Zippered Travel Pockets\n	•	Travel Pouch\n	•	Performance Fabric: Taslan/Spandex/Polyamide\nAmbition never stops moving. Our pants combine the functionality of joggers with the refined style of tailored trousers. Cut from non-iron performance fabric with the perfect amount of stretch, each pair features a shirt-gripping waistband and folds easily into its travel pouch (included). Who wears the pants around here? You do, and you’ll love them.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Guaranteed Fit! FREE US shipping and returns for 30 days.</sectionBody></section></sections>",Twillory-men,Performance Pants,"twillory, pants",,Title, Default Title,Link,https://www.twillory.com/products/navy-tailored-fit-5-pocket-performance-pants,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-F1500_7dcdf61c-3f6d-4795-8519-b1f9bdf32c1e.jpg?v=1565120609,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-FC1500_9304560b-7733-49e9-a250-dead532c3726.jpg?v=1565120609,2,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-F_6a86171a-5f8e-42d0-b385-989a238f6f91.jpg?v=1565120609,3,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-FC_d2f38a32-45a6-4ee9-95fe-1f18d8b197db.jpg?v=1565120609,4,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-R_78dfa27f-b198-470f-8aee-42663a8e6adb.jpg?v=1565120609,5,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-RP_9c5b0bea-cd88-45c8-987c-ed5bbaaf6d4b.jpg?v=1565120609,6,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-RP2_f1b91027-83c7-47cb-83b5-55aeed8a001e.jpg?v=1565120609,7,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PFP001T-T_783e3697-0f41-493f-85c7-a7fbe5377a00.jpg?v=1565120609,8,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-5-pocket-performance-pants,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TWPants_pouch_6f6a7b56-75b9-4265-99f4-fdc97ef26025.jpg?v=1565120609,9,,,,,,,,,,,,,,,,,,,,,,
Twillory-men,navy-tailored-fit-performance-pants,Navy Tailored Fit // Performance Pants,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Non-Iron\n	•	Dynamic 4-way Stretch\n	•	Shirt-Gripping Waistband\n	•	Sweat-wicking\n	•	Hyper-breathable\n	•	Media & Zippered Travel Pockets\n	•	Travel Pouch\n	•	Performance Fabric: Taslan/Spandex/Polyamide\nAmbition never stops moving. Our pants combine the functionality of joggers with the refined style of tailored trousers. Cut from non-iron performance fabric with the perfect amount of stretch, each pair features a shirt-gripping waistband and folds easily into its travel pouch (included). Who wears the pants around here? You do, and you’ll love them.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Guaranteed Fit! FREE US shipping and returns for 30 days.</sectionBody></section></sections>",Twillory-men,Performance Pants,"twillory, pants",,Title, Default Title,Link,https://www.twillory.com/products/navy-tailored-fit-performance-pants,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/1042/4718/products/TFW19PCP001T-F1500_6ab442c2-efec-4f72-81c5-a3ea179e1c8e.jpg?v=1568227845,1,,FALSE,,,,,,,,,,,,,,,,,,,,
