Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Vuori-men,ripstop-climber-pant-army,Ripstop Climber Pant | Army,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Stay adventure bound in our most versatile everyday pants. The Ripstop Climber Pant is a modern slimmer fit pant, crafted with a gusset for a wide range of motion, the comfort of cotton ripstop with a Teflon coating for strength and stain resistance, five-pocket design and endless style for daily wear. Great for hiking, traveling and chilling. Designed to fit slimmer in the legs than your standard pants. If you’d like a more relaxed fit, we recommend ordering a size up.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Pants,"vuori, best seller, pants",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/ripstop-climber-pant-army,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V412ARM_2b7f3974-1fb0-4fe4-ad86-f263a6738bc0.jpg?v=1562023572,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,ripstop-climber-pant-army,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V412ARM_1.jpg?v=1562023572,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ripstop-climber-pant-army,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V412ARM_3.jpg?v=1562023572,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ripstop-climber-pant-army,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V412ARM_4.jpg?v=1562023572,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-charcoal-heather,Ponto Performance Pant | Charcoal Heather,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The softest performance sweatpants, the Ponto Pants feature a straight-leg modern fit and endless lightweight comfort. Soft, stretchy and buttery soft, you’ll be wearing these pants on the plane, around the house, and in and out of class. Great for traveling, yoga and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Pants,"vuori, best seller, pants",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/ponto-performance-pant-charcoal-heather,,,,1,,deny,manual,84,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HCC.jpg?v=1562023854,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HCC_1.jpg?v=1562023854,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HCC_2.jpg?v=1562023854,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HCC_3.jpg?v=1562023854,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HCC_5.jpg?v=1562023854,5,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HCC_7.jpg?v=1562023854,6,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-black,Ponto Performance Pant | Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The softest performance sweatpants, the Ponto Pants feature a straight-leg modern fit and endless lightweight comfort. Soft, stretchy and buttery soft, you’ll be wearing these pants on the plane, around the house, and in and out of class. Great for traveling, yoga and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Pants,"vuori, best seller, pants",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/ponto-performance-pant-black,,,,1,,deny,manual,84,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418BLK_c4b8cb70-a4c6-4617-9008-8d472226af86.jpg?v=1562023824,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418BLK_1_df0362e6-c6cb-4013-9806-8b2d13f17926.jpg?v=1562023824,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418BLK_2.jpg?v=1562023824,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418BLK_4.jpg?v=1562023824,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-black,Kore Short | Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>One short for every sport, the Kore Short has a classic athletic fit, falling just about the knee, with an anywhere and everywhere versatility. Go commando in confidence with the breathable, boxer-brief liner. Great for yoga, training, running and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Shorts,"vuori, shorts, best seller",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/kore-short-black,,,,1,,deny,manual,68,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302BLK_fec36c29-6512-4aca-bc84-42e134309663.jpg?v=1561662279,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302BLK_1_87c6d6c4-55e2-4a20-942a-3d9c6802ea68.jpg?v=1561662279,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302BLK_2_d58dd9ce-04e7-4c65-90a8-8fe1a775b430.jpg?v=1561662279,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302BLK_4.jpg?v=1561662279,4,,,,,,,,,,,,,,,,,,,,,
